8 qid:1 1:1 2:1 3:1 4:1
8 qid:1 1:1 2:1 3:1 4:1
8 qid:1 1:1 2:1 3:1 4:1
8 qid:1 1:1 2:1 3:1 4:1
8 qid:1 1:1 2:1 3:1 4:1
8 qid:1 1:1 2:1 3:1 4:1
8 qid:1 1:1 2:1 3:2 4:2
8 qid:1 1:1 2:1 3:1 4:2
8 qid:1 1:1 2:1 3:1 4:2
8 qid:1 1:1 2:1 3:1 4:2
8 qid:1 1:1 2:1 3:1 4:2
8 qid:1 1:1 2:1 3:1 4:2
8 qid:1 1:1 2:1 3:1 4:3
8 qid:1 1:1 2:1 3:1 4:3
8 qid:1 1:1 2:1 3:1 4:3
8 qid:1 1:1 2:1 3:1 4:3
8 qid:1 1:1 2:1 3:1 4:3
8 qid:1 1:1 2:1 3:1 4:3
8 qid:1 1:1 2:1 3:1 4:4
8 qid:1 1:1 2:1 3:1 4:4
8 qid:1 1:1 2:1 3:1 4:4
8 qid:1 1:1 2:1 3:1 4:4
8 qid:1 1:1 2:1 3:1 4:4
8 qid:1 1:1 2:1 3:1 4:4
8 qid:1 1:1 2:1 3:1 4:5
8 qid:1 1:1 2:1 3:1 4:5
8 qid:1 1:1 2:1 3:1 4:5
8 qid:1 1:1 2:1 3:1 4:5
8 qid:1 1:1 2:1 3:1 4:5
8 qid:1 1:1 2:1 3:1 4:5
8 qid:1 1:1 2:1 3:1 4:6
8 qid:1 1:1 2:1 3:1 4:6
8 qid:1 1:1 2:1 3:1 4:6
8 qid:1 1:1 2:1 3:1 4:6
8 qid:1 1:1 2:1 3:1 4:6
8 qid:1 1:1 2:1 3:1 4:6
8 qid:1 1:1 2:1 3:1 4:7
8 qid:1 1:1 2:1 3:1 4:7
8 qid:1 1:1 2:1 3:1 4:7
8 qid:1 1:1 2:1 3:1 4:7
8 qid:1 1:1 2:1 3:1 4:7
8 qid:1 1:1 2:1 3:1 4:7
8 qid:1 1:1 2:1 3:1 4:8
8 qid:1 1:1 2:1 3:2 4:8
8 qid:1 1:1 2:1 3:1 4:8
8 qid:1 1:1 2:1 3:2 4:8
8 qid:1 1:1 2:1 3:1 4:8
8 qid:1 1:1 2:1 3:1 4:8
8 qid:1 1:1 2:1 3:2 4:9
8 qid:1 1:1 2:1 3:2 4:9
6 qid:1 1:1 2:1 3:1 4:9
6 qid:1 1:1 2:1 3:1 4:9
6 qid:1 1:1 2:1 3:1 4:9
6 qid:1 1:1 2:1 3:1 4:9
6 qid:1 1:1 2:1 3:1 4:10
6 qid:1 1:1 2:1 3:1 4:10
6 qid:1 1:1 2:1 3:1 4:10
6 qid:1 1:2 2:1 3:2 4:10
6 qid:1 1:1 2:1 3:2 4:10
1 qid:1 1:1 2:1 3:1 4:10
1 qid:1 1:1 2:1 3:1 4:11
1 qid:1 1:1 2:1 3:1 4:11
1 qid:1 1:1 2:1 3:1 4:11
1 qid:1 1:1 2:1 3:1 4:11
1 qid:1 1:1 2:1 3:1 4:11
1 qid:1 1:1 2:1 3:1 4:11
1 qid:1 1:1 2:1 3:1 4:12
1 qid:1 1:1 2:1 3:1 4:12
1 qid:1 1:1 2:1 3:1 4:12
1 qid:1 1:1 2:1 3:1 4:12
1 qid:1 1:1 2:1 3:1 4:12
1 qid:1 1:1 2:1 3:1 4:12
1 qid:1 1:1 2:1 3:1 4:13
1 qid:1 1:1 2:1 3:1 4:13
1 qid:1 1:1 2:1 3:1 4:13
1 qid:1 1:1 2:1 3:1 4:13
1 qid:1 1:1 2:1 3:1 4:13
1 qid:1 1:1 2:1 3:1 4:13
1 qid:1 1:1 2:1 3:1 4:14
1 qid:1 1:1 2:1 3:1 4:14
1 qid:1 1:1 2:1 3:1 4:14
1 qid:1 1:1 2:1 3:1 4:14
1 qid:1 1:1 2:1 3:1 4:14
1 qid:1 1:1 2:1 3:1 4:14
1 qid:1 1:1 2:1 3:1 4:15
1 qid:1 1:1 2:1 3:1 4:15
5 qid:1 1:1 2:1 3:1 4:15
5 qid:1 1:1 2:1 3:2 4:15
5 qid:1 1:1 2:1 3:1 4:15
5 qid:1 1:1 2:1 3:1 4:15
5 qid:1 1:1 2:1 3:1 4:16
5 qid:1 1:1 2:1 3:1 4:16
5 qid:1 1:1 2:1 3:1 4:16
5 qid:1 1:1 2:1 3:1 4:16
5 qid:1 1:1 2:1 3:1 4:16
