timestamp, value
2013-07-25T00:24:32.900-07:00,0
2013-07-25T00:24:33.000-07:00,1
2013-07-25T00:24:33.100-07:00,0
2013-07-25T00:54:22.900-07:00,0
2013-07-25T00:54:23.000-07:00,1
2013-07-25T00:54:23.100-07:00,0
2013-07-25T00:55:18.900-07:00,0
2013-07-25T00:55:19.000-07:00,1
2013-07-25T00:55:19.100-07:00,0
2013-07-25T00:55:47.900-07:00,0
2013-07-25T00:55:48.000-07:00,1
2013-07-25T00:55:48.100-07:00,0
2013-07-25T00:56:05.900-07:00,0
2013-07-25T00:56:06.000-07:00,1
2013-07-25T00:56:06.100-07:00,0
2013-07-25T00:56:41.900-07:00,0
2013-07-25T00:56:42.000-07:00,1
2013-07-25T00:56:42.100-07:00,0
2013-07-25T00:57:05.900-07:00,0
2013-07-25T00:57:06.000-07:00,1
2013-07-25T00:57:06.100-07:00,0
2013-07-25T00:57:31.900-07:00,0
2013-07-25T00:57:32.000-07:00,1
2013-07-25T00:57:32.100-07:00,0
2013-07-25T00:59:18.900-07:00,0
2013-07-25T00:59:19.000-07:00,1
2013-07-25T00:59:19.100-07:00,0
2013-07-25T01:02:12.900-07:00,0
2013-07-25T01:02:13.000-07:00,1
2013-07-25T01:02:13.100-07:00,0
2013-07-25T01:02:29.900-07:00,0
2013-07-25T01:02:30.000-07:00,1
2013-07-25T01:02:30.100-07:00,0
2013-07-25T01:02:47.900-07:00,0
2013-07-25T01:02:48.000-07:00,1
2013-07-25T01:02:48.100-07:00,0
2013-07-25T01:03:07.900-07:00,0
2013-07-25T01:03:08.000-07:00,1
2013-07-25T01:03:08.100-07:00,0
2013-07-25T01:03:55.900-07:00,0
2013-07-25T01:03:56.000-07:00,1
2013-07-25T01:03:56.100-07:00,0
2013-07-25T02:15:49.900-07:00,0
2013-07-25T02:15:50.000-07:00,1
2013-07-25T02:15:50.100-07:00,0
2013-07-25T02:16:35.900-07:00,0
2013-07-25T02:16:36.000-07:00,1
2013-07-25T02:16:36.100-07:00,0
2013-07-25T02:22:17.900-07:00,0
2013-07-25T02:22:18.000-07:00,1
2013-07-25T02:22:18.100-07:00,0
2013-07-25T06:55:30.900-07:00,0
2013-07-25T06:55:31.000-07:00,1
2013-07-25T06:55:31.100-07:00,0
2013-07-25T07:46:56.900-07:00,0
2013-07-25T07:46:57.000-07:00,1
2013-07-25T07:46:57.100-07:00,0
2013-07-25T07:48:30.900-07:00,0
2013-07-25T07:48:31.000-07:00,1
2013-07-25T07:48:31.100-07:00,0
2013-07-25T07:49:08.900-07:00,0
2013-07-25T07:49:09.000-07:00,1
2013-07-25T07:49:09.100-07:00,0
2013-07-25T07:50:35.900-07:00,0
2013-07-25T07:50:36.000-07:00,1
2013-07-25T07:50:36.100-07:00,0
2013-07-25T07:54:45.900-07:00,0
2013-07-25T07:54:46.000-07:00,1
2013-07-25T07:54:46.100-07:00,0
2013-07-25T07:55:02.900-07:00,0
2013-07-25T07:55:03.000-07:00,1
2013-07-25T07:55:03.100-07:00,0
2013-07-25T07:56:49.900-07:00,0
2013-07-25T07:56:50.000-07:00,1
2013-07-25T07:56:50.100-07:00,0
2013-07-25T07:57:11.900-07:00,0
2013-07-25T07:57:12.000-07:00,1
2013-07-25T07:57:12.100-07:00,0
2013-07-25T07:59:10.900-07:00,0
2013-07-25T07:59:11.000-07:00,1
2013-07-25T07:59:11.100-07:00,0
2013-07-25T07:59:30.900-07:00,0
2013-07-25T07:59:31.000-07:00,1
2013-07-25T07:59:31.100-07:00,0
2013-07-25T07:59:47.900-07:00,0
2013-07-25T07:59:48.000-07:00,1
2013-07-25T07:59:48.100-07:00,0
2013-07-25T08:00:03.900-07:00,0
2013-07-25T08:00:04.000-07:00,1
2013-07-25T08:00:04.100-07:00,0
2013-07-25T08:00:27.900-07:00,0
2013-07-25T08:00:28.000-07:00,1
2013-07-25T08:00:28.100-07:00,0
2013-07-25T08:00:44.900-07:00,0
